Contig	COG	Name	Start	End
PROKKA_06031	COG3682	Predicted transcriptional regulator	4	119
PROKKA_06032	COG1191	DNA-directed RNA polymerase specialized sigma subunit	11	205
PROKKA_06033	COG2172	Anti-sigma regulatory factor (Ser/Thr protein kinase)	5	143
PROKKA_06034	COG1366	Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)	17	95
PROKKA_06035	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	50	407
PROKKA_06038	COG0525	Valyl-tRNA synthetase	9	84
PROKKA_06039	COG0525	Valyl-tRNA synthetase	4	812
PROKKA_06040	COG0463	Glycosyltransferase involved in cell wall bisynthesis	5	111
PROKKA_06041	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid	7	407
PROKKA_06042	COG0463	Glycosyltransferase involved in cell wall bisynthesis	4	111
PROKKA_06043	COG0685	5,10-methylenetetrahydrofolate reductase	34	301
PROKKA_06045	COG1670	Protein N-acetyltransferase, RimJ/RimL family	1	67
PROKKA_06046	COG2262	50S ribosomal subunit-associated GTPase HflX	13	182
PROKKA_06047	COG2262	50S ribosomal subunit-associated GTPase HflX	1	214
PROKKA_06048	COG1522	DNA-binding transcriptional regulator, Lrp family	1	142
PROKKA_06050	COG1216	Glycosyltransferase, GT2 family	1	221
PROKKA_06052	COG1393	Arsenate reductase and related proteins, glutaredoxin family	1	112
PROKKA_06053	COG1141	Ferredoxin	1	62
PROKKA_06054	COG0749	DNA polymerase I - 3'-5' exonuclease and polymerase domains	382	857
PROKKA_06055	COG0533	tRNA A37 threonylcarbamoyltransferase TsaD	1	333
PROKKA_06056	COG0778	Nitroreductase	3	191
PROKKA_06057	COG0063	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain	1	296
PROKKA_06058	COG0480	Translation elongation factor EF-G, a GTPase	11	609
PROKKA_06060	COG3581	Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily	18	363
PROKKA_06061	COG3580	Predicted nucleotide-binding protein, sugar kinase/HSP70/actin superfamily	638	964
PROKKA_06066	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	199	309
PROKKA_06067	COG2746	Aminoglycoside N3'-acetyltransferase	2	247
PROKKA_06068	COG1802	DNA-binding transcriptional regulator, GntR family	7	213
PROKKA_06073	COG0681	Signal peptidase I	60	157
PROKKA_06074	COG4932	Uncharacterized surface anchored protein	796	1010
PROKKA_06075	COG4932	Uncharacterized surface anchored protein	316	499
PROKKA_06076	COG3764	Sortase (surface protein transpeptidase)	103	231
PROKKA_06078	COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	1	266
PROKKA_06079	COG1185	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	16	435
PROKKA_06080	COG0184	Ribosomal protein S15P/S13E	1	84
PROKKA_06083	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	180	522
PROKKA_06083	COG0653	Preprotein translocase subunit SecA (ATPase, RNA helicase)	1	115
PROKKA_06084	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase	21	314
PROKKA_06085	COG1954	Glycerol-3-phosphate responsive antiterminator (mRNA-binding)	11	188
PROKKA_06086	COG0579	L-2-hydroxyglutarate oxidase LhgO	1	245
PROKKA_06087	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	3	228
PROKKA_06087	COG0446	NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	27	310
PROKKA_06088	COG3862	Uncharacterized protein with two CxxC motifs	2	114
PROKKA_06089	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components	27	297
PROKKA_06090	COG4149	ABC-type molybdate transport system, permease component	1	222
PROKKA_06091	COG0725	ABC-type molybdate transport system, periplasmic component	52	293
PROKKA_06092	COG0521	Molybdopterin biosynthesis enzyme MoaB	148	304
PROKKA_06093	COG2896	Molybdenum cofactor biosynthesis enzyme MoaA	1	325
PROKKA_06094	COG0315	Molybdenum cofactor biosynthesis enzyme	6	160
PROKKA_06095	COG0303	Molybdopterin biosynthesis enzyme	128	287
PROKKA_06096	COG1763	Molybdopterin-guanine dinucleotide biosynthesis protein	18	167
PROKKA_06097	COG0303	Molybdopterin biosynthesis enzyme	5	396
PROKKA_06099	COG2414	Aldehyde:ferredoxin oxidoreductase	5	704
PROKKA_06100	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	13	32
PROKKA_06101	COG0437	Fe-S-cluster-containing dehydrogenase component	56	149
PROKKA_06103	COG1526	Formate dehydrogenase assembly factor FdhD	30	249
PROKKA_06104	COG1001	Adenine deaminase	1	576
PROKKA_06105	COG0733	Na+-dependent transporter, SNF family	18	100
PROKKA_06106	COG0733	Na+-dependent transporter, SNF family	6	301
PROKKA_06107	COG4868	Uncharacterized protein, UPF0371 family	1	496
PROKKA_06108	COG1299	Phosphotransferase system, fructose-specific IIC component	293	609
PROKKA_06109	COG1105	Fructose-1-phosphate kinase or kinase (PfkB)	1	301
PROKKA_06110	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	1	243
PROKKA_06111	COG4690	Dipeptidase	2	493
PROKKA_06112	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	94	293
PROKKA_06113	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	7	216
PROKKA_06114	COG0463	Glycosyltransferase involved in cell wall bisynthesis	2	261
PROKKA_06115	COG1853	NADH-FMN oxidoreductase RutF, flavin reductase (DIM6/NTAB) family	11	170
PROKKA_06116	COG4708	Uncharacterized membrane protein	2	169
PROKKA_06117	COG0546	Phosphoglycolate phosphatase, HAD superfamily	7	214
PROKKA_06120	COG0205	6-phosphofructokinase	1	359
PROKKA_06121	COG2195	Di- or tripeptidase	1	405
PROKKA_06122	COG0168	Trk-type K+ transport system, membrane component	15	455
PROKKA_06127	COG1192	Cellulose biosynthesis protein BcsQ	14	268
PROKKA_06130	COG3505	Type IV secretory pathway, VirD4 component, TraG/TraD family ATPase	3	95
PROKKA_06131	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	7	207
PROKKA_06137	COG1131	ABC-type multidrug transport system, ATPase component	15	301
PROKKA_06138	COG0642	Signal transduction histidine kinase	83	377
PROKKA_06139	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	4	223
PROKKA_06142	COG3598	RecA-family ATPase	307	602
PROKKA_06148	COG3738	Uncharacterized protein YijF, DUF1287 family	3	156
PROKKA_06149	COG0191	Fructose/tagatose bisphosphate aldolase	1	157
PROKKA_06150	COG0191	Fructose/tagatose bisphosphate aldolase	1	104
PROKKA_06151	COG0566	tRNA G18 (ribose-2'-O)-methylase SpoU	36	294
PROKKA_06153	COG2217	Cation transport ATPase	325	429
PROKKA_06154	COG1115	Na+/alanine symporter	2	459
PROKKA_06155	COG0422	Thiamine biosynthesis protein ThiC	4	436
PROKKA_06156	COG0352	Thiamine monophosphate synthase	10	210
PROKKA_06157	COG2145	Hydroxyethylthiazole kinase, sugar kinase family	1	272
PROKKA_06158	COG4732	Predicted membrane protein	4	167
PROKKA_06159	COG3459	Cellobiose phosphorylase	1	811
PROKKA_06160	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	2	333
PROKKA_06161	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	90	473
PROKKA_06162	COG1175	ABC-type sugar transport system, permease component	20	156
PROKKA_06163	COG0395	ABC-type glycerol-3-phosphate transport system, permease component	11	287
PROKKA_06164	COG0242	Peptide deformylase	1	136
PROKKA_06165	COG1114	Branched-chain amino acid permeases	5	422
PROKKA_06166	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	1	201
PROKKA_06167	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	1	179
PROKKA_06168	COG0772	Bacterial cell division protein FtsW, lipid II flippase	113	392
PROKKA_06170	COG0802	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE	3	140
PROKKA_06171	COG1214	tRNA A37 threonylcarbamoyladenosine modification protein TsaB	1	162
PROKKA_06172	COG0698	Ribose 5-phosphate isomerase RpiB	5	146
PROKKA_06173	COG0035	Uracil phosphoribosyltransferase	5	208
PROKKA_06174	COG0534	Na+-driven multidrug efflux pump	6	422
PROKKA_06175	COG0031	Cysteine synthase	16	272
PROKKA_06176	COG2739	Predicted DNA-binding protein YlxM, UPF0122 family	1	74
PROKKA_06177	COG0541	Signal recognition particle GTPase	2	410
PROKKA_06178	COG1837	Predicted RNA-binding protein YlqC, contains KH domain, UPF0109 family	1	77
PROKKA_06179	COG0806	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	2	167
PROKKA_06180	COG0336	tRNA G37 N-methylase TrmD	3	236
PROKKA_06181	COG1925	Phosphotransferase system, HPr and related phosphotransfer proteins	1	87
PROKKA_06182	COG0322	Excinuclease UvrABC, nuclease subunit	13	613
PROKKA_06183	COG4709	Uncharacterized membrane protein	1	61
PROKKA_06184	COG1695	DNA-binding transcriptional regulator, PadR family	1	101
PROKKA_06185	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	18	217
PROKKA_06186	COG1126	ABC-type polar amino acid transport system, ATPase component	1	95
PROKKA_06187	COG1126	ABC-type polar amino acid transport system, ATPase component	2	140
PROKKA_06188	COG0765	ABC-type amino acid transport system, permease component	16	225
PROKKA_06189	COG0240	Glycerol-3-phosphate dehydrogenase	11	104
PROKKA_06191	COG2270	MFS-type transporter involved in bile tolerance, Atg22 family	1	297
PROKKA_06192	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	3	426
PROKKA_06194	COG0465	ATP-dependent Zn proteases	36	606
PROKKA_06195	COG0119	Isopropylmalate/homocitrate/citramalate synthases	29	473
PROKKA_06196	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	1	419
PROKKA_06197	COG0066	3-isopropylmalate dehydratase small subunit	4	152
PROKKA_06198	COG0473	Isocitrate/isopropylmalate dehydrogenase	1	125
PROKKA_06199	COG0473	Isocitrate/isopropylmalate dehydrogenase	1	224
PROKKA_06200	COG1126	ABC-type polar amino acid transport system, ATPase component	5	254
PROKKA_06201	COG0765	ABC-type amino acid transport system, permease component	87	253
PROKKA_06202	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	61	274
PROKKA_06203	COG0778	Nitroreductase	1	152
PROKKA_06205	COG3610	Uncharacterized membrane protein YjjB, DUF3815 family	15	140
PROKKA_06206	COG2966	Uncharacterized membrane protein YjjP, DUF1212 family	9	233
PROKKA_06207	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen	48	187
PROKKA_06207	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen	202	302
PROKKA_06208	COG1135	ABC-type methionine transport system, ATPase component	1	336
PROKKA_06209	COG2011	ABC-type methionine transport system, permease component	9	164
PROKKA_06211	COG2873	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent	1	426
PROKKA_06212	COG1897	Homoserine trans-succinylase	1	303
PROKKA_06213	COG1307	Fatty acid-binding protein DegV (function unknown)	3	284
PROKKA_06214	COG0219	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain	5	154
PROKKA_06215	COG2240	Pyridoxal/pyridoxine/pyridoxamine kinase	8	231
PROKKA_06219	COG4624	Iron only hydrogenase large subunit, C-terminal domain	189	357
PROKKA_06220	COG0621	tRNA A37 methylthiotransferase MiaB	1	428
PROKKA_06221	COG1686	D-alanyl-D-alanine carboxypeptidase	49	405
PROKKA_06222	COG0166	Glucose-6-phosphate isomerase	8	443
PROKKA_06224	COG1399	Uncharacterized metal-binding protein YceD, DUF177 family	35	165
PROKKA_06225	COG0333	Ribosomal protein L32	1	58
PROKKA_06226	COG1625	Fe-S oxidoreductase, related to NifB/MoaA family	1	286
PROKKA_06227	COG1625	Fe-S oxidoreductase, related to NifB/MoaA family	2	98
PROKKA_06228	COG1160	Predicted GTPases	1	443
PROKKA_06229	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	1	150
PROKKA_06232	COG0226	ABC-type phosphate transport system, periplasmic component	125	208
PROKKA_06234	COG0534	Na+-driven multidrug efflux pump	26	414
PROKKA_06234	COG0534	Na+-driven multidrug efflux pump	248	405
PROKKA_06238	COG1304	FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	93	236
PROKKA_06239	COG0564	Pseudouridylate synthase, 23S rRNA- or tRNA-specific	9	304
PROKKA_06241	COG0013	Alanyl-tRNA synthetase	1	887
PROKKA_06242	COG0537	Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase	2	108
PROKKA_06243	COG0503	Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein	52	158
PROKKA_06244	COG0658	Predicted membrane metal-binding protein	154	321
PROKKA_06245	COG1466	DNA polymerase III, delta subunit	56	336
PROKKA_06246	COG1658	5S rRNA maturation endonuclease (Ribonuclease M5), contains TOPRIM domain	1	123
PROKKA_06247	COG1191	DNA-directed RNA polymerase specialized sigma subunit	1	163
PROKKA_06249	COG1846	DNA-binding transcriptional regulator, MarR family	12	137
PROKKA_06250	COG4422	Bacteriophage protein gp37	13	198
PROKKA_06251	COG1533	DNA repair photolyase	1	279
PROKKA_06255	COG2364	Uncharacterized membrane protein YczE	33	197
PROKKA_06256	COG1335	Nicotinamidase-related amidase	1	136
PROKKA_06257	COG2110	O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain	10	168
PROKKA_06258	COG1489	DNA-binding protein, stimulates sugar fermentation	1	217
PROKKA_06259	COG0789	DNA-binding transcriptional regulator, MerR family	2	97
PROKKA_06260	COG2033	Desulfoferrodoxin, superoxide reductase-like (SORL) domain	11	124
PROKKA_06262	COG1683	Uncharacterized conserved protein YbbK, DUF523 family	1	139
PROKKA_06263	COG0561	Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases	1	20
PROKKA_06266	COG1990	Peptidyl-tRNA hydrolase	1	150
PROKKA_06268	COG4422	Bacteriophage protein gp37	8	214
PROKKA_06269	COG1479	Uncharacterized conserved protein, contains ParB-like and HNH nuclease domains	6	217
PROKKA_06270	COG3472	Uncharacterized protein	25	250
PROKKA_06271	COG0005	Purine nucleoside phosphorylase	7	254
PROKKA_06272	COG0071	Molecular chaperone IbpA, HSP20 family	15	154
PROKKA_06273	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	4	347
PROKKA_06274	COG0225	Peptide methionine sulfoxide reductase MsrA	1	149
PROKKA_06275	COG1811	Uncharacterized membrane protein YqgA, affects biofilm formation	4	47
PROKKA_06277	COG2816	NADH pyrophosphatase NudC, Nudix superfamily	6	148
PROKKA_06279	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	38	173
PROKKA_06280	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE	45	160
PROKKA_06281	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	45	234
PROKKA_06286	COG3315	O-Methyltransferase involved in polyketide biosynthesis	4	237
PROKKA_06287	COG1893	Ketopantoate reductase	1	237
PROKKA_06295	COG2337	mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module	10	109
PROKKA_06298	COG1813	Archaeal ribosome-binding protein aMBF1, putative translation factor, contains Zn-ribbon and HTH domains	82	140
PROKKA_06300	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	11	270
PROKKA_06302	COG1501	Alpha-glucosidase, glycosyl hydrolase family GH31	46	181
PROKKA_06303	COG1501	Alpha-glucosidase, glycosyl hydrolase family GH31	1	495
PROKKA_06304	COG0389	Nucleotidyltransferase/DNA polymerase involved in DNA repair	8	432
PROKKA_06307	COG2033	Desulfoferrodoxin, superoxide reductase-like (SORL) domain	11	124
PROKKA_06308	COG2110	O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain	1	169
PROKKA_06310	COG0062	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain	2	203
PROKKA_06311	COG0673	Predicted dehydrogenase	1	320
PROKKA_06313	COG1146	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	186	242
PROKKA_06314	COG1878	Kynurenine formamidase	14	252
PROKKA_06315	COG2606	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	1	48
PROKKA_06317	COG0428	Zinc transporter ZupT	10	260
PROKKA_06318	COG3315	O-Methyltransferase involved in polyketide biosynthesis	4	237
PROKKA_06320	COG1055	Na+/H+ antiporter NhaD or related arsenite permease	29	163
PROKKA_06321	COG0679	Predicted permease	7	309
PROKKA_06322	COG0733	Na+-dependent transporter, SNF family	1	462
PROKKA_06323	COG0583	DNA-binding transcriptional regulator, LysR family	9	237
PROKKA_06325	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	29	327
PROKKA_06326	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	53	431
PROKKA_06327	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component	1	172
PROKKA_06328	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component	5	333
PROKKA_06329	COG4753	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	3	255
PROKKA_06329	COG4753	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	165	255
PROKKA_06330	COG2972	Sensor histidine kinase YesM	17	283
PROKKA_06332	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	7	219
PROKKA_06334	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	36	260
PROKKA_06334	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	277	480
PROKKA_06335	COG0642	Signal transduction histidine kinase	11	86
PROKKA_06336	COG0784	CheY chemotaxis protein or a CheY-like REC (receiver) domain	46	177
PROKKA_06336	COG0784	CheY chemotaxis protein or a CheY-like REC (receiver) domain	189	249
PROKKA_06337	COG0784	CheY chemotaxis protein or a CheY-like REC (receiver) domain	1	39
PROKKA_06341	COG0456	Ribosomal protein S18 acetylase RimI and related acetyltransferases	59	159
PROKKA_06342	COG0300	Short-chain dehydrogenase	49	265
PROKKA_06343	COG0642	Signal transduction histidine kinase	521	787
PROKKA_06344	COG4566	Two-component response regulator, FixJ family, consists of REC and HTH domains	49	132
PROKKA_06354	COG4260	Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain	10	420
PROKKA_06360	COG1512	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	69	213
PROKKA_06365	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family	1	257
PROKKA_06370	COG1506	Dipeptidyl aminopeptidase/acylaminoacyl peptidase	40	162
PROKKA_06371	COG4936	Ligand-binding sensor domain	8	170
PROKKA_06372	COG1943	REP element-mobilizing transposase RayT	2	108
PROKKA_06374	COG1192	Cellulose biosynthesis protein BcsQ	6	267
PROKKA_06375	COG1475	Chromosome segregation protein Spo0J, contains ParB-like nuclease domain	34	218
PROKKA_06381	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	17	167
PROKKA_04651	COG0619	Energy-coupling factor transporter transmembrane protein EcfT	5	268
PROKKA_04652	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	7	102
PROKKA_04653	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	15	94
PROKKA_04654	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2	4	231
PROKKA_04655	COG1092	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	21	246
PROKKA_04656	COG2255	Holliday junction resolvasome RuvABC, ATP-dependent DNA helicase subunit	17	338
PROKKA_04657	COG0632	Holliday junction resolvasome RuvABC DNA-binding subunit	1	176
PROKKA_04658	COG0817	Holliday junction resolvasome RuvABC endonuclease subunit	4	158
PROKKA_04660	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	1	212
PROKKA_04662	COG1661	Predicted DNA-binding protein with PD1-like DNA-binding motif	1	99
PROKKA_04664	COG0583	DNA-binding transcriptional regulator, LysR family	1	287
PROKKA_04668	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase)	11	204
PROKKA_04669	COG4277	Predicted DNA-binding protein with the Helix-hairpin-helix motif	5	376
PROKKA_04670	COG1961	Site-specific DNA recombinase related to the DNA invertase Pin	11	183
PROKKA_04672	COG5545	Predicted P-loop ATPase and inactivated derivatives	44	372
PROKKA_04678	COG4591	ABC-type transport system, involved in lipoprotein release, permease component	273	376
PROKKA_04679	COG1136	ABC-type lipoprotein export system, ATPase component	3	221
PROKKA_04680	COG0642	Signal transduction histidine kinase	4	161
PROKKA_04681	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	2	224
PROKKA_04682	COG1476	DNA-binding transcriptional regulator, XRE-family HTH domain	67	98
PROKKA_04683	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family	1	157
PROKKA_04684	COG2509	Uncharacterized FAD-dependent dehydrogenase	1	467
PROKKA_04685	COG3247	Uncharacterized membrane protein HdeD, DUF308 family	1	169
PROKKA_04686	COG0534	Na+-driven multidrug efflux pump	1	277
PROKKA_04686	COG0534	Na+-driven multidrug efflux pump	89	230
PROKKA_04691	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	42
PROKKA_04694	COG0077	Prephenate dehydratase	78	343
PROKKA_04695	COG0337	3-dehydroquinate synthetase	20	320
PROKKA_04696	COG0082	Chorismate synthase	1	333
PROKKA_04697	COG0169	Shikimate 5-dehydrogenase	1	254
PROKKA_04698	COG0757	3-dehydroquinate dehydratase	1	143
PROKKA_04699	COG2876	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	57	329
PROKKA_04700	COG0128	5-enolpyruvylshikimate-3-phosphate synthase	22	421
PROKKA_04701	COG0287	Prephenate dehydrogenase	20	272
PROKKA_04702	COG2378	Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains	9	318
PROKKA_04703	COG0464	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	426	621
PROKKA_04705	COG3689	Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family	218	312
PROKKA_04706	COG0523	GTPase, G3E family	2	181
PROKKA_04708	COG0006	Xaa-Pro aminopeptidase	4	317
PROKKA_04709	COG3279	DNA-binding response regulator, LytR/AlgR family	85	223
PROKKA_04710	COG0463	Glycosyltransferase involved in cell wall bisynthesis	3	287
PROKKA_04711	COG0637	Beta-phosphoglucomutase or related phosphatase, HAD superfamily	7	200
PROKKA_04712	COG1752	Predicted acylesterase/phospholipase RssA, containd patatin domain	10	200
PROKKA_04713	COG1080	Phosphoenolpyruvate-protein kinase (PTS system EI component in bacteria)	2	534
PROKKA_04714	COG1385	16S rRNA U1498 N3-methylase RsmE	1	245
PROKKA_04715	COG2264	Ribosomal protein L11 methylase PrmA	1	303
PROKKA_04717	COG2186	DNA-binding transcriptional regulator, FadR family	10	233
PROKKA_04718	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	1	336
PROKKA_04719	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	1	252
PROKKA_04720	COG2610	H+/gluconate symporter or related permease	29	434
PROKKA_04721	COG3118	Negative regulator of GroEL, contains thioredoxin-like and TPR-like domains	3	101
PROKKA_04722	COG1866	Phosphoenolpyruvate carboxykinase, ATP-dependent	5	534
PROKKA_04727	COG3378	Phage- or plasmid-associated DNA primase	55	368
PROKKA_04729	COG0358	DNA primase (bacterial type)	1	57
PROKKA_04738	COG1106	ATPase/GTPase, AAA15 family	1	402
PROKKA_04740	COG1123	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain	3	264
PROKKA_04740	COG1123	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain	6	280
PROKKA_04741	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	9	333
PROKKA_04742	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	270	492
PROKKA_04743	COG4166	ABC-type oligopeptide transport system, periplasmic component	16	256
PROKKA_04744	COG3958	Transketolase, C-terminal subunit	1	313
PROKKA_04745	COG3959	Transketolase, N-terminal subunit	2	242
PROKKA_04747	COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	1	230
PROKKA_04749	COG2365	Protein tyrosine/serine phosphatase	162	401
PROKKA_04750	COG1523	Pullulanase/glycogen debranching enzyme	13	273
PROKKA_04751	COG1523	Pullulanase/glycogen debranching enzyme	1	337
PROKKA_04752	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	136	454
PROKKA_04753	COG0275	16S rRNA C1402 N4-methylase RsmH	125	202
PROKKA_04754	COG4108	Peptide chain release factor RF-3	1	113
PROKKA_04755	COG4108	Peptide chain release factor RF-3	1	390
PROKKA_04756	COG0667	Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)	1	315
PROKKA_04757	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	13	219
PROKKA_04758	COG0492	Thioredoxin reductase	12	212
PROKKA_04759	COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	1	324
PROKKA_04760	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	189	431
PROKKA_04761	COG4905	Uncharacterized membrane protein	15	147
PROKKA_04763	COG0220	tRNA G46 methylase TrmB	1	222
PROKKA_04764	COG2872	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)	4	241
PROKKA_04765	COG1640	4-alpha-glucanotransferase	1	505
PROKKA_04766	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	93	268
PROKKA_04769	COG1209	dTDP-glucose pyrophosphorylase	7	125
PROKKA_04771	COG4753	Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains	10	122
PROKKA_04772	COG0704	Phosphate uptake regulator	3	222
PROKKA_04773	COG1117	ABC-type phosphate transport system, ATPase component	2	255
PROKKA_04774	COG0581	ABC-type phosphate transport system, permease component	6	249
PROKKA_04775	COG0573	ABC-type phosphate transport system, permease component	12	289
PROKKA_04776	COG0226	ABC-type phosphate transport system, periplasmic component	58	297
PROKKA_04782	COG0180	Tryptophanyl-tRNA synthetase	1	323
PROKKA_04783	COG0300	Short-chain dehydrogenase	1	258
PROKKA_04784	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	9	261
PROKKA_04785	COG1917	Cupin domain protein related to quercetin dioxygenase	42	108
PROKKA_04786	COG0698	Ribose 5-phosphate isomerase RpiB	1	160
PROKKA_04788	COG0004	Ammonia channel protein AmtB	1	402
PROKKA_04789	COG0441	Threonyl-tRNA synthetase	3	594
PROKKA_04791	COG3633	Na+/serine symporter	1	329
PROKKA_04793	COG1418	HD superfamily phosphodieaserase, includes HD domain of RNase Y	302	523
PROKKA_04796	COG1472	Periplasmic beta-glucosidase and related glycosidases	31	340
PROKKA_04797	COG1472	Periplasmic beta-glucosidase and related glycosidases	725	930
PROKKA_04799	COG3279	DNA-binding response regulator, LytR/AlgR family	1	227
PROKKA_04800	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	27	77
PROKKA_04803	COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	1	242
PROKKA_04804	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	1	81
